employee_id,employee_name,department,level,region,hire_date,salary,performance_score,manager_id,is_active
EMP-00001,Employee 0001,Customer Success,Mid,Latin America,2023-03-30 00:00:00+00:00,105863,62.68,,1
EMP-00002,Employee 0002,Finance,Junior,North America,2024-10-16 00:00:00+00:00,72649,74.91,,1
EMP-00003,Employee 0003,Customer Success,Mid,Europe,2024-02-23 00:00:00+00:00,303501,80.64,,1
EMP-00004,Employee 0004,Supply Chain,Mid,Asia Pacific,2025-08-20 00:00:00+00:00,280829,65.34,,1
EMP-00005,Employee 0005,Executive,Lead,Asia Pacific,2025-03-22 00:00:00+00:00,116350,75.73,,1
EMP-00006,Employee 0006,Customer Success,Lead,Latin America,2024-10-26 00:00:00+00:00,156272,77.3,,1
EMP-00007,Employee 0007,IT,Mid,Latin America,2023-12-11 00:00:00+00:00,282831,82.97,,1
EMP-00008,Employee 0008,Operations,Junior,North America,2023-12-29 00:00:00+00:00,294254,60.48,,1
EMP-00009,Employee 0009,Marketing,Mid,Europe,2024-04-16 00:00:00+00:00,201464,71.46,,1
EMP-00010,Employee 0010,Supply Chain,Mid,North America,2024-03-14 00:00:00+00:00,228402,79.94,,1
EMP-00011,Employee 0011,IT,Mid,Middle East & Africa,2023-03-31 00:00:00+00:00,316778,73.63,,1
EMP-00012,Employee 0012,Finance,Senior,Europe,2023-01-07 00:00:00+00:00,193042,65.92,,1
EMP-00013,Employee 0013,Customer Success,Mid,Asia Pacific,2024-11-13 00:00:00+00:00,128612,88.29,,1
EMP-00014,Employee 0014,Customer Success,Mid,Middle East & Africa,2023-02-27 00:00:00+00:00,269668,88.66,,1
EMP-00015,Employee 0015,IT,Junior,Latin America,2024-04-10 00:00:00+00:00,284345,86.29,,1
EMP-00016,Employee 0016,Operations,Lead,Middle East & Africa,2023-04-13 00:00:00+00:00,246657,73.97,EMP-00007,1
EMP-00017,Employee 0017,Marketing,Senior,Europe,2024-04-07 00:00:00+00:00,266741,75.74,EMP-00011,1
EMP-00018,Employee 0018,Operations,Lead,Europe,2024-01-29 00:00:00+00:00,206259,91.73,EMP-00010,1
EMP-00019,Employee 0019,Finance,Mid,Asia Pacific,2023-03-22 00:00:00+00:00,209924,86.82,EMP-00009,1
EMP-00020,Employee 0020,Finance,Lead,Latin America,2023-10-14 00:00:00+00:00,71112,91.9,EMP-00004,1
EMP-00021,Employee 0021,Executive,Director,Middle East & Africa,2023-03-10 00:00:00+00:00,83664,78.92,EMP-00012,1
EMP-00022,Employee 0022,Customer Success,Lead,Latin America,2024-02-05 00:00:00+00:00,266274,84.7,EMP-00004,1
EMP-00023,Employee 0023,Finance,Junior,Middle East & Africa,2023-03-28 00:00:00+00:00,306676,85.31,EMP-00007,1
EMP-00024,Employee 0024,Marketing,Mid,North America,2024-02-11 00:00:00+00:00,274123,93.87,EMP-00012,1
EMP-00025,Employee 0025,IT,Director,Middle East & Africa,2023-03-25 00:00:00+00:00,240645,52.93,EMP-00014,1
EMP-00026,Employee 0026,Operations,Senior,Europe,2023-12-17 00:00:00+00:00,291101,79.35,EMP-00001,1
EMP-00027,Employee 0027,IT,Lead,North America,2023-11-26 00:00:00+00:00,192217,88.49,EMP-00013,1
EMP-00028,Employee 0028,Executive,Mid,North America,2024-05-28 00:00:00+00:00,75652,90.94,EMP-00011,1
EMP-00029,Employee 0029,Executive,Mid,Europe,2024-02-28 00:00:00+00:00,122169,73.02,EMP-00003,1
EMP-00030,Employee 0030,Finance,Mid,Europe,2025-07-24 00:00:00+00:00,312424,82.29,EMP-00002,1
EMP-00031,Employee 0031,Finance,Lead,North America,2025-06-15 00:00:00+00:00,282173,86.09,EMP-00003,1
EMP-00032,Employee 0032,Supply Chain,Junior,Europe,2024-06-06 00:00:00+00:00,167000,91.8,EMP-00002,1
EMP-00033,Employee 0033,Sales,Mid,Asia Pacific,2023-02-08 00:00:00+00:00,72084,81.91,EMP-00005,1
EMP-00034,Employee 0034,Supply Chain,Lead,North America,2025-03-31 00:00:00+00:00,107253,80.83,EMP-00004,1
EMP-00035,Employee 0035,Marketing,Lead,Europe,2024-11-05 00:00:00+00:00,260614,75.02,EMP-00002,1
EMP-00036,Employee 0036,Sales,Lead,Middle East & Africa,2025-02-18 00:00:00+00:00,241328,90.33,EMP-00006,1
EMP-00037,Employee 0037,Operations,Junior,Middle East & Africa,2025-06-19 00:00:00+00:00,279981,91.68,EMP-00013,1
EMP-00038,Employee 0038,Customer Success,Senior,Asia Pacific,2024-02-22 00:00:00+00:00,258666,89.48,EMP-00015,1
EMP-00039,Employee 0039,IT,Mid,Asia Pacific,2024-04-29 00:00:00+00:00,259522,86.16,EMP-00013,1
EMP-00040,Employee 0040,Executive,VP,North America,2023-08-28 00:00:00+00:00,48148,80.7,EMP-00007,1
EMP-00041,Employee 0041,Finance,Senior,Middle East & Africa,2023-03-13 00:00:00+00:00,120426,71.54,EMP-00010,1
EMP-00042,Employee 0042,Operations,Director,Europe,2023-02-01 00:00:00+00:00,136422,69.86,EMP-00007,1
EMP-00043,Employee 0043,Marketing,Mid,North America,2024-12-14 00:00:00+00:00,219623,89.33,EMP-00009,1
EMP-00044,Employee 0044,IT,Lead,North America,2023-02-25 00:00:00+00:00,175394,90.46,EMP-00012,1
EMP-00045,Employee 0045,Supply Chain,Mid,Middle East & Africa,2025-05-28 00:00:00+00:00,87661,80.7,EMP-00006,1
EMP-00046,Employee 0046,Marketing,Mid,Europe,2023-08-08 00:00:00+00:00,278949,80.69,EMP-00005,1
EMP-00047,Employee 0047,Executive,Lead,Asia Pacific,2024-05-30 00:00:00+00:00,147957,80.35,EMP-00014,1
EMP-00048,Employee 0048,Sales,Mid,North America,2025-05-27 00:00:00+00:00,53418,91.18,EMP-00009,1
EMP-00049,Employee 0049,Supply Chain,Junior,Europe,2023-07-14 00:00:00+00:00,269513,86.32,EMP-00008,1
EMP-00050,Employee 0050,Operations,Junior,Europe,2023-04-16 00:00:00+00:00,252465,73.26,EMP-00011,1
EMP-00051,Employee 0051,Customer Success,Senior,Middle East & Africa,2024-01-22 00:00:00+00:00,304535,83.6,EMP-00001,1
EMP-00052,Employee 0052,Customer Success,Senior,Asia Pacific,2025-04-05 00:00:00+00:00,301338,60.59,EMP-00013,1
EMP-00053,Employee 0053,IT,Director,Europe,2023-09-24 00:00:00+00:00,155505,71.21,EMP-00013,1
EMP-00054,Employee 0054,Finance,Lead,Latin America,2024-04-02 00:00:00+00:00,304113,58.76,EMP-00002,1
EMP-00055,Employee 0055,IT,Senior,Europe,2024-10-10 00:00:00+00:00,261293,68.58,EMP-00005,1
EMP-00056,Employee 0056,Customer Success,Senior,Middle East & Africa,2024-10-07 00:00:00+00:00,109244,69.6,EMP-00010,1
EMP-00057,Employee 0057,Marketing,Mid,Middle East & Africa,2025-04-15 00:00:00+00:00,234552,55.09,EMP-00013,1
EMP-00058,Employee 0058,Sales,Mid,North America,2023-05-24 00:00:00+00:00,215943,90.9,EMP-00001,1
EMP-00059,Employee 0059,Customer Success,Lead,Asia Pacific,2025-08-29 00:00:00+00:00,121751,72.4,EMP-00003,1
EMP-00060,Employee 0060,IT,Mid,Europe,2025-03-05 00:00:00+00:00,177663,74.45,EMP-00008,1
EMP-00061,Employee 0061,IT,Mid,Middle East & Africa,2025-09-03 00:00:00+00:00,108975,68.53,EMP-00002,1
EMP-00062,Employee 0062,Finance,Director,North America,2023-03-31 00:00:00+00:00,215598,84.22,EMP-00006,1
EMP-00063,Employee 0063,Supply Chain,Lead,Asia Pacific,2025-02-09 00:00:00+00:00,180359,93.19,EMP-00008,1
EMP-00064,Employee 0064,IT,Senior,Europe,2024-06-07 00:00:00+00:00,196638,83.75,EMP-00013,1
EMP-00065,Employee 0065,Marketing,Senior,Asia Pacific,2025-03-03 00:00:00+00:00,226228,81.83,EMP-00004,1
EMP-00066,Employee 0066,Executive,Mid,North America,2023-04-14 00:00:00+00:00,294059,56.28,EMP-00011,1
EMP-00067,Employee 0067,Sales,Lead,North America,2024-05-05 00:00:00+00:00,161813,76.88,EMP-00005,1
EMP-00068,Employee 0068,Customer Success,Lead,Europe,2025-05-05 00:00:00+00:00,247283,85.12,EMP-00011,1
EMP-00069,Employee 0069,Finance,Senior,Latin America,2025-03-26 00:00:00+00:00,182888,91.19,EMP-00003,1
EMP-00070,Employee 0070,Marketing,Mid,Middle East & Africa,2024-08-11 00:00:00+00:00,196519,84.67,EMP-00003,1
EMP-00071,Employee 0071,IT,Junior,Middle East & Africa,2024-10-25 00:00:00+00:00,106016,99.0,EMP-00012,1
EMP-00072,Employee 0072,Marketing,Senior,Latin America,2024-06-29 00:00:00+00:00,319281,69.99,EMP-00005,1
EMP-00073,Employee 0073,Executive,Senior,North America,2025-05-07 00:00:00+00:00,197700,69.99,EMP-00014,1
EMP-00074,Employee 0074,Operations,Senior,Middle East & Africa,2023-09-30 00:00:00+00:00,303337,82.22,EMP-00005,1
EMP-00075,Employee 0075,IT,Junior,Middle East & Africa,2025-08-06 00:00:00+00:00,227269,92.05,EMP-00004,1
EMP-00076,Employee 0076,Supply Chain,Senior,Asia Pacific,2024-05-26 00:00:00+00:00,88724,93.83,EMP-00003,1
EMP-00077,Employee 0077,Customer Success,Lead,Asia Pacific,2025-09-16 00:00:00+00:00,222292,55.61,EMP-00006,1
EMP-00078,Employee 0078,Operations,Senior,Middle East & Africa,2023-01-21 00:00:00+00:00,220934,79.21,EMP-00007,0
EMP-00079,Employee 0079,Supply Chain,Mid,Europe,2024-06-17 00:00:00+00:00,267216,88.48,EMP-00004,1
EMP-00080,Employee 0080,Marketing,VP,Europe,2024-04-25 00:00:00+00:00,302548,88.17,EMP-00007,1
EMP-00081,Employee 0081,Operations,Senior,Latin America,2024-05-01 00:00:00+00:00,57542,84.21,EMP-00011,1
EMP-00082,Employee 0082,Sales,Lead,Europe,2023-08-03 00:00:00+00:00,277848,77.06,EMP-00006,1
EMP-00083,Employee 0083,Finance,Mid,Middle East & Africa,2024-01-06 00:00:00+00:00,211872,44.61,EMP-00001,1
EMP-00084,Employee 0084,Supply Chain,Mid,Asia Pacific,2025-06-11 00:00:00+00:00,291179,99.0,EMP-00012,1
