employee_id,employee_name,hire_date,salary,performance_score,manager_id,is_active,hire_year,hire_month,hire_quarter,hire_dayofweek,hire_day,hire_is_month_start,hire_is_month_end,tenure_days,salary_performance_ratio,department_frequency,level_frequency,region_frequency,department_Customer Success,department_Executive,department_Finance,department_IT,department_Marketing,department_Operations,department_Sales,department_Supply Chain,level_Director,level_Junior,level_Lead,level_Mid,level_Senior,level_VP,region_Asia Pacific,region_Europe,region_Latin America,region_Middle East & Africa,region_North America,salary_robust_scaled,performance_score_robust_scaled,tenure_days_robust_scaled
EMP-00001,Employee 0001,2023-03-30 00:00:00+00:00,105863,62.68,Unknown,1,2023,3,1,3,30,0,0,1224,1688.9438417358008,0.12142857142857143,0.30238095238095236,0.1738095238095238,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.6014040517779222,-1.0266528210453443,0.8042168674698795
EMP-00002,Employee 0002,2024-10-16 00:00:00+00:00,72649,74.91,Unknown,1,2024,10,4,2,16,0,0,658,969.8171138699773,0.11428571428571428,0.20238095238095238,0.20714285714285716,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.8503187875767461,-0.17999307718933938,-0.33232931726907633
EMP-00003,Employee 0003,2024-02-23 00:00:00+00:00,303501,80.64,Unknown,1,2024,2,1,4,23,0,0,894,3763.653273809524,0.12142857142857143,0.30238095238095236,0.22857142857142856,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8797487920171019,0.21668397369331907,0.14156626506024098
EMP-00004,Employee 0004,2025-08-20 00:00:00+00:00,280829,65.34,Unknown,1,2025,8,3,2,20,0,0,350,4297.964493419038,0.1380952380952381,0.30238095238095236,0.19285714285714287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7098386670688592,-0.8425060574593282,-0.9508032128514057
EMP-00005,Employee 0005,2025-03-22 00:00:00+00:00,116350,75.73,Unknown,1,2025,3,1,5,22,0,0,501,1536.3792420441039,0.10952380952380952,0.15,0.19285714285714287,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5228116258634806,-0.12322602976808586,-0.6475903614457831
EMP-00006,Employee 0006,2024-10-26 00:00:00+00:00,156272,77.3,Unknown,1,2024,10,4,5,26,0,0,648,2021.6300129366107,0.12142857142857143,0.15,0.1738095238095238,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.2236253163987777,-0.014537902388370222,-0.35240963855421686
EMP-00007,Employee 0007,2023-12-11 00:00:00+00:00,282831,82.97,Unknown,1,2023,12,4,0,11,0,0,968,3408.834518500663,0.1357142857142857,0.30238095238095236,0.1738095238095238,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7248421987443348,0.377985462097611,0.2901606425702811
EMP-00008,Employee 0008,2023-12-29 00:00:00+00:00,294254,60.48,Unknown,1,2023,12,4,4,29,0,0,950,4865.310846560847,0.11428571428571428,0.20238095238095238,0.20714285714285716,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8104492628447131,-1.1789546555901695,0.2540160642570281
EMP-00009,Employee 0009,2024-04-16 00:00:00+00:00,201464,71.46,Unknown,1,2024,4,2,1,16,0,0,841,2819.2555275678706,0.1357142857142857,0.30238095238095236,0.22857142857142856,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1150558042196496,-0.41883004499826987,0.035140562248995984
EMP-00010,Employee 0010,2024-03-14 00:00:00+00:00,228402,79.94,Unknown,1,2024,3,1,3,14,0,0,874,2857.1678759069305,0.1380952380952381,0.30238095238095236,0.20714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31693649166918036,0.16822429906541997,0.10140562248995984
EMP-00011,Employee 0011,2023-03-31 00:00:00+00:00,316778,73.63,Unknown,1,2023,3,1,4,31,0,1,1223,4302.295260084205,0.1357142857142857,0.30238095238095236,0.1976190476190476,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9792502356011623,-0.26860505365178317,0.8022088353413654
EMP-00012,Employee 0012,2023-01-07 00:00:00+00:00,193042,65.92,Unknown,1,2023,1,1,5,7,0,0,1306,2928.4283980582522,0.11428571428571428,0.2261904761904762,0.22857142857142856,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.051939049089352325,-0.8023537556247835,0.9688755020080321
EMP-00013,Employee 0013,2024-11-13 00:00:00+00:00,128612,88.29,Unknown,1,2024,11,4,2,13,0,0,630,1456.699512968626,0.12142857142857143,0.30238095238095236,0.19285714285714287,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43091686791908435,0.7462789892696432,-0.3885542168674699
EMP-00014,Employee 0014,2023-02-27 00:00:00+00:00,269668,88.66,Unknown,1,2023,2,1,0,27,0,0,1255,3041.597112564855,0.12142857142857143,0.30238095238095236,0.1976190476190476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6261951021188179,0.7718933887158176,0.8664658634538153
EMP-00015,Employee 0015,2024-04-10 00:00:00+00:00,284345,86.29,Unknown,1,2024,4,2,2,10,0,0,847,3295.2254027117856,0.1357142857142857,0.20238095238095238,0.1738095238095238,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7361885258955186,0.6078227760470749,0.04718875502008032
EMP-00016,Employee 0016,2023-04-13 00:00:00+00:00,246657,73.97,EMP-00007,1,2023,4,2,3,13,0,0,1210,3334.5545491415437,0.11428571428571428,0.15,0.1976190476190476,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4537444191096431,-0.24506749740394632,0.7761044176706827
EMP-00017,Employee 0017,2024-04-07 00:00:00+00:00,266741,75.74,EMP-00011,1,2024,4,2,6,7,0,0,850,3521.7982571956695,0.1357142857142857,0.2261904761904762,0.22857142857142856,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6042593692446336,-0.12253374870197364,0.05321285140562249
